10,11
11,13
12,15
13,15
14,15
15,16
16,17
17,17
18,18
19,20
20,21
21,22
22,22
23,23
24,23
25,25
26,25
27,25
28,27
29,27
30,27
31,29
32,29
33,29
34,30
35,31
36,31
37,31
38,32
39,34
40,36
41,38
42,40
43,42
44,44
45,46
46,48
47,48
48,50
49,51
50,52
51,54
52,55
53,56
54,56
55,57
56,59
57,61
58,61
59,63
60,63
61,64
62,65
63,67
64,68
65,69
66,70
67,72
68,73
69,75
70,77
71,79
72,80
73,81
74,81
75,81
76,83
77,84
78,84
79,84
80,85
81,86
82,88
83,88
84,89
85,91
86,93
87,94
88,95
89,96
90,96
91,98
92,100
93,102
94,103
95,104
96,104
97,104
98,104
99,105
